"timestamp","cpu_percent","committed_memory_percent"
"2026-08-17T23:40:40.1348933+07:00","56.94","96.48"
"2026-08-17T23:40:41.1947900+07:00","36.98","96.62"
"2026-08-17T23:40:42.2084431+07:00","29.86","96.68"
"2026-08-17T23:40:43.2210639+07:00","12.18","96.44"
"2026-08-17T23:40:44.2359066+07:00","12.11","96.58"
"2026-08-17T23:40:45.2487172+07:00","18.36","96.57"
"2026-08-17T23:40:46.2549228+07:00","24.56","96.65"
"2026-08-17T23:40:47.2635953+07:00","18.29","96.64"
"2026-08-17T23:40:48.2726363+07:00","30.45","96.5"
"2026-08-17T23:40:49.2817001+07:00","22.58","96.48"
"2026-08-17T23:40:50.2924371+07:00","24.38","96.35"
"2026-08-17T23:40:51.3042861+07:00","22.66","96.35"
"2026-08-17T23:40:52.3183377+07:00","17.31","96.37"
"2026-08-17T23:40:53.3209910+07:00","30.91","96.26"
"2026-08-17T23:40:54.3330736+07:00","31.43","96.16"
"2026-08-17T23:40:55.3340274+07:00","18.96","96.09"
"2026-08-17T23:40:56.3419592+07:00","21.2","96.1"
"2026-08-17T23:40:57.3457736+07:00","32.94","96.11"
"2026-08-17T23:40:58.3583239+07:00","30.69","96.16"
"2026-08-17T23:40:59.3732343+07:00","34.95","96.12"
"2026-08-17T23:41:00.3882243+07:00","24.57","96.11"
"2026-08-17T23:41:01.3985897+07:00","17.91","96.06"
"2026-08-17T23:41:02.4111918+07:00","30.43","96.07"
"2026-08-17T23:41:03.4200393+07:00","35.6","96.17"
"2026-08-17T23:41:04.4355055+07:00","39.48","96.14"
"2026-08-17T23:41:05.4410701+07:00","29.3","96.12"
"2026-08-17T23:41:06.4483167+07:00","26.7","96.12"
"2026-08-17T23:41:07.4590682+07:00","21.42","96.15"
"2026-08-17T23:41:08.4733289+07:00","26.57","96.44"
"2026-08-17T23:41:09.4886044+07:00","23.95","96.38"
"2026-08-17T23:41:10.5003985+07:00","19.95","96.37"
"2026-08-17T23:41:11.5149650+07:00","28.39","96.22"
"2026-08-17T23:41:12.5180283+07:00","20.95","96.29"
"2026-08-17T23:41:13.5327652+07:00","16.85","96.28"
"2026-08-17T23:41:14.5437504+07:00","47.58","96.33"
"2026-08-17T23:41:15.5453469+07:00","23.82","96.36"
"2026-08-17T23:41:16.5602808+07:00","32.9","96.3"
"2026-08-17T23:41:17.5734751+07:00","21.74","96.3"
"2026-08-17T23:41:18.5738394+07:00","25.81","96.47"
"2026-08-17T23:41:19.5858077+07:00","35.92","96.4"
"2026-08-17T23:41:20.6004119+07:00","31.85","96.44"
"2026-08-17T23:41:21.6139207+07:00","18.93","96.53"
"2026-08-17T23:41:22.6139659+07:00","28.13","96.43"
"2026-08-17T23:41:23.6296251+07:00","32.31","96.45"
"2026-08-17T23:41:24.6307085+07:00","34.19","96.41"
"2026-08-17T23:41:25.6458409+07:00","28.04","96.26"
"2026-08-17T23:41:26.6602724+07:00","24.4","96.25"
"2026-08-17T23:41:27.6743475+07:00","17.44","96.39"
"2026-08-17T23:41:28.6891938+07:00","20.2","96.29"
"2026-08-17T23:41:29.7026296+07:00","53.36","96.4"
"2026-08-17T23:41:30.7121075+07:00","77.04","96.43"
"2026-08-17T23:41:31.7229691+07:00","67.28","96.72"
"2026-08-17T23:41:32.7381934+07:00","32.41","96.76"
"2026-08-17T23:41:33.7486944+07:00","29.77","96.65"
"2026-08-17T23:41:34.7629867+07:00","33.89","96.85"
"2026-08-17T23:41:35.7743406+07:00","34.08","96.71"
"2026-08-17T23:41:36.7872989+07:00","19.66","96.71"
"2026-08-17T23:41:37.7882970+07:00","22.73","96.69"
"2026-08-17T23:41:38.7883948+07:00","22.14","96.67"
"2026-08-17T23:41:39.8016139+07:00","19.55","96.71"
"2026-08-17T23:41:40.8160280+07:00","35.44","96.59"
"2026-08-17T23:41:41.8180540+07:00","19.69","96.65"
"2026-08-17T23:41:42.8218529+07:00","27.36","96.61"
"2026-08-17T23:41:43.8259355+07:00","27.51","96.62"
"2026-08-17T23:41:44.8290602+07:00","25.88","96.79"
"2026-08-17T23:41:45.8308645+07:00","21.89","96.69"
"2026-08-17T23:41:46.8450460+07:00","24.64","96.71"
"2026-08-17T23:41:47.8564750+07:00","22.11","96.8"
"2026-08-17T23:41:48.8704422+07:00","21.41","96.68"
"2026-08-17T23:41:49.8854201+07:00","29.06","96.72"
"2026-08-17T23:41:50.8910809+07:00","38.24","96.79"
"2026-08-17T23:41:51.8932430+07:00","54.79","96.88"
"2026-08-17T23:41:52.8965840+07:00","67.07","96.9"
"2026-08-17T23:41:53.9100601+07:00","63.09","93.1"
"2026-08-17T23:41:54.9222581+07:00","37.87","92.94"
"2026-08-17T23:41:55.9344931+07:00","36.2","92.78"
"2026-08-17T23:41:56.9493463+07:00","23.66","92.77"
"2026-08-17T23:41:57.9598802+07:00","6.97","92.68"
"2026-08-17T23:41:58.9634470+07:00","15.67","92.68"
"2026-08-17T23:41:59.9750023+07:00","19.94","92.66"
