"timestamp","cpu_percent","physical_ram_used_percent","physical_ram_used_mb"
"2026-08-18T01:29:45.2275553+07:00","74.01","75.77","18453"
"2026-08-18T01:29:46.3029024+07:00","55.12","75.91","18489"
"2026-08-18T01:29:47.3117599+07:00","65.89","76.15","18547"
"2026-08-18T01:29:48.3266133+07:00","50.09","76.14","18543"
"2026-08-18T01:29:49.3398548+07:00","33.31","75.98","18506"
"2026-08-18T01:29:50.3533372+07:00","41.41","76.03","18518"
"2026-08-18T01:29:51.3552145+07:00","24.36","76","18509"
"2026-08-18T01:29:52.3672204+07:00","28.46","76.02","18515"
"2026-08-18T01:29:53.3831814+07:00","44.76","76.07","18526"
"2026-08-18T01:29:54.3955288+07:00","51","75.98","18505"
"2026-08-18T01:29:55.4103062+07:00","27.38","76","18509"
"2026-08-18T01:29:56.4253304+07:00","34.19","76.1","18535"
"2026-08-18T01:29:57.4400458+07:00","27.11","76.1","18535"
"2026-08-18T01:29:58.4549585+07:00","25.97","76.15","18547"
"2026-08-18T01:29:59.4667218+07:00","33.85","76.1","18534"
"2026-08-18T01:30:00.4770479+07:00","28.09","76.2","18558"
"2026-08-18T01:30:01.4817233+07:00","27.55","76.19","18556"
"2026-08-18T01:30:02.4953119+07:00","38.21","76.1","18535"
"2026-08-18T01:30:03.4963590+07:00","31.71","76.13","18542"
"2026-08-18T01:30:04.5088515+07:00","29.27","76.07","18527"
"2026-08-18T01:30:05.5248920+07:00","30.54","76.15","18546"
"2026-08-18T01:30:06.5375935+07:00","34.17","76.12","18538"
"2026-08-18T01:30:07.5546378+07:00","36.63","76.21","18560"
"2026-08-18T01:30:08.5696404+07:00","28.29","76.24","18569"
"2026-08-18T01:30:09.5844526+07:00","36.23","76.18","18553"
"2026-08-18T01:30:10.5987289+07:00","41.59","76.12","18539"
"2026-08-18T01:30:11.6124130+07:00","34.23","76.28","18578"
"2026-08-18T01:30:12.6286507+07:00","30.81","76.22","18563"
"2026-08-18T01:30:13.6295039+07:00","26.76","76.24","18567"
"2026-08-18T01:30:14.6429972+07:00","37.69","76.29","18580"
"2026-08-18T01:30:15.6441047+07:00","30.16","76.35","18595"
"2026-08-18T01:30:16.6559422+07:00","47.24","76.4","18607"
"2026-08-18T01:30:17.6572081+07:00","40.57","76.41","18609"
"2026-08-18T01:30:18.6685837+07:00","34.21","76.44","18618"
"2026-08-18T01:30:19.6831746+07:00","35.7","76.49","18628"
"2026-08-18T01:30:20.6975625+07:00","35.95","76.8","18705"
"2026-08-18T01:30:21.7119029+07:00","41.21","76.73","18688"
"2026-08-18T01:30:22.7253288+07:00","57.47","76.55","18643"
"2026-08-18T01:30:23.7291582+07:00","32.16","76.57","18648"
"2026-08-18T01:30:24.7342153+07:00","29.26","76.49","18628"
"2026-08-18T01:30:25.7494176+07:00","62.16","76.52","18636"
"2026-08-18T01:30:26.7632178+07:00","65.71","76.78","18700"
"2026-08-18T01:30:27.7782731+07:00","58.44","76.75","18692"
"2026-08-18T01:30:28.7941558+07:00","67.06","76.86","18718"
"2026-08-18T01:30:29.8080041+07:00","44.13","76.81","18706"
"2026-08-18T01:30:30.8229531+07:00","34.57","76.73","18688"
"2026-08-18T01:30:31.8230634+07:00","36.34","76.81","18707"
"2026-08-18T01:30:32.8365013+07:00","34.86","76.8","18704"
"2026-08-18T01:30:33.8509645+07:00","37.75","76.88","18724"
"2026-08-18T01:30:34.8656852+07:00","27.76","76.75","18692"
"2026-08-18T01:30:35.8797062+07:00","30.92","76.83","18713"
"2026-08-18T01:30:36.8961411+07:00","29.67","76.87","18721"
"2026-08-18T01:30:37.9109152+07:00","24.42","76.88","18725"
"2026-08-18T01:30:38.9145989+07:00","33.06","76.9","18728"
"2026-08-18T01:30:39.9162111+07:00","20.96","76.88","18724"
"2026-08-18T01:30:40.9163820+07:00","33.87","76.92","18734"
"2026-08-18T01:30:41.9202851+07:00","35.02","76.97","18747"
"2026-08-18T01:30:42.9346913+07:00","37.62","76.99","18751"
"2026-08-18T01:30:43.9404908+07:00","36.31","77.04","18762"
"2026-08-18T01:30:44.9523433+07:00","41.84","77.13","18785"
"2026-08-18T01:30:45.9533988+07:00","40.95","77.12","18783"
"2026-08-18T01:30:46.9601844+07:00","34.56","77.14","18788"
"2026-08-18T01:30:47.9737964+07:00","62.75","77.35","18839"
"2026-08-18T01:30:48.9741340+07:00","39.73","77.36","18840"
"2026-08-18T01:30:49.9886127+07:00","51.87","77.27","18820"
"2026-08-18T01:30:51.0042433+07:00","56.92","77.38","18845"
"2026-08-18T01:30:52.0118510+07:00","68.86","76.87","18722"
"2026-08-18T01:30:53.0277740+07:00","70.27","76.95","18742"
"2026-08-18T01:30:54.0412861+07:00","72.89","76.9","18728"
"2026-08-18T01:30:55.0546263+07:00","59.78","76.97","18747"
