Feature,TestCaseID,Specification,ExternalData,Browsers,ResultPerBrowser,DefectGroup,GitHubIssues,FinalReports
FR06,FR06-DT-001,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-01,#2,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-002,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-003,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-006,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-02,#1,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-008,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-03,#3,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-010,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-04,#6,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-012,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-04,#9,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-013,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-DT-015,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-02,#1,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-BVA-001,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-04,#4,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-BVA-004,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-04,#5,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR06,FR06-BVA-005,tests/fr06/product-detail.spec.ts,test-data/fr06/product-detail-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR06-04,#8,"FR06/chromium/2026-08-09T17-31-26.775Z;FR06/firefox/2026-08-09T17-33-31.734Z;FR06/edge/2026-08-09T17-36-07.141Z"
FR10,FR10-DT-001,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-002,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-003,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-004,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-005,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-006,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR10-01,#10,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-011,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","PASS;PASS;PASS",None,None,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
FR10,FR10-DT-012,tests/fr10/fr10-state-machine.spec.ts,test-data/fr10/state-machine-scenarios.json,"chromium;firefox;edge","FAIL;FAIL;FAIL",BUG-FR10-03,#11,"FR10/chromium/2026-08-09T17-38-13.799Z;FR10/firefox/2026-08-09T17-39-01.856Z;FR10/edge/2026-08-09T17-40-25.448Z"
